Well No,District,Tahsil / Taluk,Village,Latitude_decimal,Longitude_decimal,Latitude,Longitude,Date_standardized,Year,Month,Season,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,ALK-TOT,HAR_Total,SAR,HAR_Ca,RSC,Na%,TDS_Class,pH_Class,Total_Cations,Total_Anions,Ionic_Balance_Error
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2006-01-07,2006,1,Winter,256.0,3.0,26.0,20.655,30.0,13.0,35.0,26.0,0.2807868,149.7092,0.92,7.3,450.0,150.0,150.0,1.065968,65.0,0.0,28.15614,Fresh,Neutral,89.655,210.9899868,40.35822718730928
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2006-07-26,2006,7,Monsoon,679.0,29.0,48.0,99.63,28.0,31.0,234.0,33.0,0.0,152.5,1.2,8.1,1190.0,125.0,530.0,0.5291914,120.0,0.0,9.662621,Brackish,Neutral,206.63,419.5,33.99773210036254
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2007-07-13,2007,7,Monsoon,813.0,19.0,46.0,37.665,166.0,13.0,259.0,134.0,0.0,146.4,1.2,7.9,1220.0,120.0,270.0,4.396349,115.0,0.0,55.76571,Brackish,Neutral,262.66499999999996,539.4,34.50281460978849
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2008-01-08,2008,1,Winter,414.0,3.0,36.0,42.525,41.0,27.0,39.0,47.0,3.215528,271.7215,1.3,8.1,710.0,275.0,265.0,1.095961,90.0,0.0,22.95287,Fresh,Neutral,146.525,360.937028,42.251836821177875
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2008-07-02,2008,7,Monsoon,1139.0,27.0,28.0,170.1,83.0,63.0,312.0,144.0,0.0,439.2,0.16,7.9,2070.0,360.0,770.0,1.301294,70.0,0.0,17.51204,Brackish,Neutral,344.1,895.2,44.46865165819413
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2009-01-05,2009,1,Winter,676.0,7.6772,20.0,32.0,133.0,16.0,191.0,48.0,0.0,171.0,0.67,7.5,980.0,140.0,180.0,4.293386,50.0,0.0,58.87795,Brackish,Neutral,201.0,410.0,34.20621931260229
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2009-07-13,2009,7,Monsoon,584.0,6.0,30.0,29.16,138.0,16.0,202.0,36.0,36.0,140.3,0.82,8.5,1010.0,175.0,195.0,4.300436,75.0,0.0,58.22994,Brackish,Neutral,213.16,414.3,32.05622669174131
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2010-01-07,2010,1,Winter,754.0,9.0,54.0,31.59,184.0,7.0,181.0,42.0,0.0,427.0,0.8,7.7,1330.0,350.0,265.0,4.919167,135.0,1.704737,59.38704,Brackish,Neutral,276.59000000000003,650.0,40.29937728661004
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2010-07-20,2010,7,Monsoon,550.0,12.0,36.0,41.31,115.0,9.0,163.0,37.0,24.0,225.7,0.92,8.3,1010.0,225.0,260.0,3.103472,90.0,0.0,47.96775,Brackish,Neutral,201.31,449.7,38.15455983779051
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2011-01-11,2011,1,Winter,825.0,19.0,80.0,46.17,152.0,9.0,213.0,58.0,30.0,305.0,1.33,8.4,1420.0,300.0,390.0,3.349725,200.0,0.0,45.18161,Brackish,Neutral,287.17,606.0,35.69645196323208
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2011-07-12,2011,7,Monsoon,564.0,1.0,34.0,47.385,115.0,8.0,170.0,31.0,0.0,292.8,0.37,8.1,1040.0,240.0,280.0,2.990473,85.0,0.0,46.30481,Brackish,Neutral,204.385,493.8,41.45248035979003
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2012-01-06,2012,1,Winter,515.0,1.0,50.0,38.88,60.0,18.0,64.0,173.0,0.0,213.5,1.52,8.0,820.0,175.0,285.0,1.546676,125.0,0.0,29.77642,Brackish,Neutral,166.88,450.5,45.93929184618874
63506,Tirupur,Dharapuram,Dharapuram,10.765278,77.525,"10°45'55""","77°31'30""",2012-07-11,2012,7,Monsoon,819.0,24.0,26.0,57.0,106.0,115.0,252.0,38.0,24.0,189.0,0.72,8.5,1320.0,195.0,300.0,2.664694,65.0,0.0,34.05281,Brackish,Neutral,304.0,503.0,24.65923172242875
63536,Tirupur,Kangeyam,Erasinampalayam,,,,,2014-01-01,2014,1,Winter,301.0,0.0,34.0,15.0,58.0,3.0,28.0,44.0,0.0,238.0,0.63,8.2,520.0,195.0,145.0,2.083978,85.0,0.9700376,45.61571,Fresh,Neutral,110.0,310.0,47.61904761904761
63536,Tirupur,Kangeyam,Erasinampalayam,,,,,2014-07-04,2014,7,Monsoon,606.0,0.0,18.0,69.0,115.0,2.0,163.0,80.0,12.0,293.0,1.1,8.3,1150.0,260.0,330.0,2.758622,45.0,0.0,43.01315,Brackish,Neutral,204.0,548.0,45.744680851063826
63536,Tirupur,Kangeyam,Erasinampalayam,,,,,2015-01-06,2015,1,Winter,727.0,22.0,28.0,95.0,87.0,4.0,184.0,94.0,0.0,275.0,1.2,7.9,1260.0,225.0,460.0,1.763028,70.0,0.0,28.88491,Brackish,Neutral,214.0,553.0,44.19817470664928
63536,Tirupur,Dharapuram,Erasinampalayam,,,,,2015-07-02,2015,7,Monsoon,904.0,24.0,16.0,68.0,207.0,22.0,269.0,83.0,24.0,220.0,1.22,8.6,1580.0,220.0,320.0,5.035731,40.0,0.0,56.41346,Brackish,Alkaline,313.0,596.0,31.133113311331133
MSW41,Tirupur,Tirupur,Ganapathypalayam,11.033333,77.336111,"11°02'00""","77°20'10""",2011-01-18,2011,1,Winter,559.0,13.0,42.0,35.235,81.0,20.0,117.0,104.0,18.0,170.8,1.42,8.5,880.0,170.0,250.0,2.229353,105.0,0.0,39.01664,Brackish,Neutral,178.235,409.8,39.37945870568928
MSW41,Tirupur,Tirupur,Ganapathypalayam,11.033333,77.336111,"11°02'00""","77°20'10""",2011-07-08,2011,7,Monsoon,1040.0,18.0,20.0,82.62,230.0,19.0,411.0,77.0,0.0,237.9,1.22,8.4,1770.0,195.0,390.0,5.067014,50.0,0.0,54.70763,Brackish,Neutral,351.62,725.9,34.73531813794639
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2001-07-23,2001,7,Monsoon,695.9,23.0,52.0,53.46,72.0,65.0,99.0,40.0,0.0,250.1,0.62,8.5,970.0,270.0,300.0,2.883882,160.0,0.0,65.3239,Brackish,Neutral,242.46,389.1,23.218696560896827
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2002-07-10,2002,7,Monsoon,624.0,28.0,28.0,53.46,92.0,40.0,99.0,35.0,30.0,244.0,0.52,8.4,1030.0,250.0,290.0,2.350645,70.0,0.0,36.98061,Brackish,Neutral,213.46,408.0,31.303704180478224
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2005-01-11,2005,1,Winter,803.0,13.0,66.0,69.255,92.0,51.0,170.0,96.0,0.0,402.6,0.615,7.8,1420.0,330.0,450.0,1.887234,165.0,0.0,27.98689,Brackish,Neutral,278.255,668.6,41.22542522350307
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2005-07-02,2005,7,Monsoon,638.0,26.0,32.0,47.385,140.0,8.0,106.0,77.0,6.0,213.5,0.76,8.3,1100.0,185.0,275.0,3.673483,80.0,0.0,51.64914,Brackish,Neutral,227.385,402.5,27.801106551195854
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2006-01-15,2006,1,Winter,838.0,28.0,76.0,38.88,163.0,29.0,124.0,39.0,0.0,488.0,0.615,7.2,1410.0,400.0,350.0,3.791949,190.0,1.006815,47.82867,Brackish,Neutral,306.88,651.0,35.92516807950892
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2006-07-19,2006,7,Monsoon,929.0,34.0,76.0,65.61,120.0,51.0,199.0,86.0,0.0,359.9,0.85,8.0,1500.0,295.0,460.0,2.434801,190.0,0.0,33.21312,Brackish,Neutral,312.61,644.9,34.70355400987979
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2007-01-28,2007,1,Winter,443.0,5.0,74.0,19.44,64.0,8.0,25.0,14.0,2.092906,352.8755,1.0,7.8,720.0,355.0,265.0,1.711288,185.0,0.5611958,33.61679,Fresh,Neutral,165.44,393.968406,40.85180050011619
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2007-07-03,2007,7,Monsoon,630.0,27.0,24.0,58.32,41.0,98.0,113.0,42.0,0.0,268.4,0.27,7.8,1030.0,220.0,300.0,1.029926,60.0,0.0,17.33705,Brackish,Neutral,221.32,423.4,31.343839186003226
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2008-01-11,2008,1,Winter,943.0,38.0,16.0,44.955,184.0,78.0,135.0,192.0,0.0,250.1,0.58,7.8,1450.0,205.0,225.0,5.337051,40.0,0.0,55.2112,Brackish,Neutral,322.955,577.1,28.236607762858938
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2008-07-11,2008,7,Monsoon,1269.0,27.0,116.0,94.77,152.0,27.0,355.0,319.0,0.0,170.8,0.61,7.7,2140.0,140.0,680.0,2.536619,290.0,0.0,31.65035,Brackish,Neutral,389.77,844.8,36.85736734247552
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2009-01-28,2009,1,Winter,1755.0,55.9984,40.0,57.0,37.0,196.0,177.0,58.0,0.0,183.0,0.38,7.8,1310.0,150.0,335.0,0.8801949,100.0,0.0,12.09263,Saline,Neutral,330.0,418.0,11.76470588235294
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2009-07-10,2009,7,Monsoon,1277.0,50.0,136.0,92.34,74.0,137.0,390.0,72.0,0.0,305.0,1.58,8.2,2070.0,250.0,720.0,1.200186,340.0,0.0,15.24903,Brackish,Neutral,439.34000000000003,767.0,27.16149675879105
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2010-01-07,2010,1,Winter,1007.0,32.0,76.0,21.87,225.0,52.0,227.0,48.0,0.0,427.0,0.82,8.1,1690.0,350.0,280.0,5.852781,190.0,1.406659,58.57168,Brackish,Neutral,374.87,702.0,30.37785433710662
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2010-07-17,2010,7,Monsoon,1366.0,49.0,180.0,92.34,60.0,137.0,404.0,96.0,30.0,298.9,1.0,8.7,2180.0,295.0,830.0,0.9064021,450.0,0.0,11.49958,Brackish,Alkaline,469.34000000000003,828.9,27.695957604140986
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2011-01-20,2011,1,Winter,1195.0,43.0,92.0,51.03,230.0,38.0,305.0,104.0,0.0,366.0,0.77,8.2,1930.0,300.0,440.0,4.772028,230.0,0.0,50.61243,Brackish,Neutral,411.03,775.0,30.688093893071848
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2011-07-04,2011,7,Monsoon,1085.0,48.0,28.0,53.46,253.0,27.0,305.0,100.0,12.0,189.1,1.49,8.6,1680.0,175.0,290.0,6.464272,70.0,0.0,62.9142,Brackish,Alkaline,361.46000000000004,606.1,25.284220100045474
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2012-01-06,2012,1,Winter,1073.0,38.0,84.0,80.19,143.0,37.0,284.0,149.0,0.0,256.2,0.59,7.7,1780.0,210.0,540.0,2.677882,210.0,0.0,34.63883,Brackish,Neutral,344.19,689.2,33.38623365815423
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2012-07-19,2012,7,Monsoon,1166.0,44.0,64.0,80.0,193.0,44.0,404.0,115.0,0.0,146.0,0.19,8.2,1930.0,120.0,490.0,3.796957,160.0,0.0,43.50356,Brackish,Neutral,381.0,665.0,27.151051625239003
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2013-01-04,2013,1,Winter,677.0,23.0,32.0,36.0,138.0,32.0,170.0,41.0,18.0,220.0,1.45,8.4,1130.0,210.0,230.0,3.975657,80.0,0.0,52.74547,Brackish,Neutral,238.0,449.0,30.71324599708879
HP1CBE13,Tirupur,Udumalaipettai,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2014-01-03,2014,1,Winter,728.0,21.0,60.0,49.0,110.0,30.0,85.0,87.0,0.0,427.0,0.23,8.2,1240.0,350.0,350.0,2.552736,150.0,0.0,38.03917,Brackish,Neutral,249.0,599.0,41.27358490566038
63804A,Tirupur,Madathukulam,Gudimangalam,,,,,2014-07-04,2014,7,Monsoon,425.0,12.0,52.0,29.0,51.0,2.0,85.0,25.0,0.0,256.0,0.6,8.0,790.0,210.0,250.0,1.405639,130.0,0.0,30.59432,Fresh,Neutral,134.0,366.0,46.400000000000006
63804A,Tirupur,Madathukulam,Gudimangalam,,,,,2015-01-08,2015,1,Winter,60.0,0.0,6.0,9.0,7.0,0.0,7.0,0.0,0.0,61.0,0.7,7.7,130.0,50.0,50.0,0.4222378,15.0,0.0,22.64651,Fresh,Neutral,22.0,68.0,51.11111111111111
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2001-07-25,2001,7,Monsoon,2627.0,30.0,50.0,72.9,529.0,104.0,1064.0,374.0,0.0,237.9,0.68,8.2,4030.0,150.0,1080.0,2.883882,320.0,0.0,89.63792,Saline,Neutral,755.9,1675.9,37.83205855744716
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2002-07-17,2002,7,Monsoon,66.0,0.05,12.0,1.215,9.0,2.0,7.0,19.0,0.2916515,24.6454,0.65,8.1,110.0,25.0,35.0,0.6622667,30.0,0.0,34.29587,Fresh,Neutral,24.215,50.937051499999995,35.557314759398146
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2003-07-29,2003,7,Monsoon,163.0,4.0,16.0,15.795,9.0,10.0,14.0,10.0,1.686956,113.2338,0.66,8.2,270.0,115.0,105.0,0.3822058,40.0,0.0,14.25911,Fresh,Neutral,50.795,138.920756,46.451469217981035
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2004-07-09,2004,7,Monsoon,396.0,3.0,10.0,63.18,37.0,7.0,106.0,9.0,1.355901,228.6125,0.67,7.8,730.0,230.0,285.0,0.9535006,25.0,0.0,21.4977,Fresh,Neutral,117.18,344.96840100000003,49.289016365113426
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2005-01-19,2005,1,Winter,1882.0,35.0,200.0,143.37,184.0,31.0,397.0,720.0,0.0,103.7,0.765,7.7,2960.0,85.0,1090.0,2.425395,500.0,0.0,26.17675,Saline,Neutral,558.37,1220.7,37.229001669411545
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2005-07-11,2005,7,Monsoon,1596.0,36.0,44.0,41.31,350.0,14.0,284.0,442.0,0.0,378.2,0.77,7.7,2460.0,310.0,280.0,9.102125,110.0,0.6040586,71.88882,Saline,Neutral,449.31,1104.2,42.15550591885473
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2006-01-14,2006,1,Winter,777.0,19.0,50.0,49.815,159.0,13.0,149.0,77.0,0.0,390.4,0.765,7.5,1310.0,320.0,330.0,3.808805,125.0,0.0,49.96099,Brackish,Neutral,271.815,616.4,38.79522412929302
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2006-07-11,2006,7,Monsoon,1248.0,63.0,108.0,82.62,166.0,16.0,227.0,250.0,0.0,237.9,0.58,7.5,1980.0,195.0,610.0,2.924928,270.0,0.0,36.43419,Brackish,Neutral,372.62,714.9,31.473444166544063
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2007-01-08,2007,1,Winter,1153.0,56.0,120.0,68.04,142.0,43.0,227.0,139.0,0.0,335.5,0.62,7.7,1710.0,275.0,580.0,2.566102,300.0,0.0,32.74322,Brackish,Neutral,373.04,701.5,30.567498650585367
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2007-07-05,2007,7,Monsoon,1340.0,49.0,148.0,102.06,138.0,34.0,390.0,173.0,0.0,274.5,0.85,7.9,2270.0,225.0,790.0,2.136717,370.0,0.0,26.49421,Brackish,Neutral,422.06,837.5,32.98294642573597
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2008-01-04,2008,1,Winter,1142.0,6.0,76.0,123.93,120.0,34.0,113.0,432.0,0.0,433.1,0.53,7.9,1930.0,355.0,700.0,1.973519,190.0,0.0,25.99455,Brackish,Neutral,353.93,978.1,46.858554236766444
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2008-07-17,2008,7,Monsoon,1319.0,53.0,36.0,51.03,311.0,51.0,269.0,125.0,0.0,481.9,1.3,7.8,2170.0,395.0,300.0,7.813029,90.0,1.903242,64.95019,Brackish,Neutral,449.03,875.9,32.21830587276309
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2009-01-22,2009,1,Winter,3349.0,97.9972,208.0,105.0,209.0,47.0,312.0,384.0,0.0,323.0,2.34,7.8,2930.0,265.0,950.0,2.947918,520.0,0.0,31.01291,Saline,Neutral,569.0,1019.0,28.337531486146094
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2009-07-06,2009,7,Monsoon,1191.0,15.0,96.0,72.9,207.0,12.0,482.0,192.0,24.0,73.2,1.07,8.6,2010.0,100.0,540.0,3.876557,240.0,0.0,44.7947,Brackish,Alkaline,387.9,771.2,33.06876024501769
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2010-01-29,2010,1,Winter,2036.0,77.0,72.0,140.94,327.0,117.0,695.0,288.0,0.0,109.8,0.64,8.1,3220.0,90.0,760.0,5.161042,180.0,0.0,43.8909,Saline,Neutral,656.94,1092.8,24.909986626584516
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2010-07-22,2010,7,Monsoon,2731.0,308.0,192.0,165.24,368.0,18.0,496.0,58.0,0.0,140.3,0.83,8.0,3930.0,115.0,1160.0,4.701975,480.0,0.0,40.37458,Saline,Neutral,743.24,694.3,3.404427007248498
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2011-01-18,2011,1,Winter,95.0,1.0,8.0,2.43,23.0,5.0,14.0,5.0,2.157152,57.6438,0.05,8.6,170.0,60.0,30.0,1.82777,20.0,0.4175611,57.91191,Fresh,Alkaline,38.43,78.800952,34.43711009017482
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2011-07-08,2011,7,Monsoon,980.0,18.0,20.0,80.19,212.0,32.0,376.0,20.0,0.0,323.3,1.16,7.8,1750.0,265.0,380.0,4.731533,50.0,0.0,52.28582,Brackish,Neutral,344.19,719.3,35.27160575087683
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2012-01-03,2012,1,Winter,409.0,0.05,10.0,60.75,62.0,3.0,71.0,26.0,10.2734,274.5276,2.85,8.6,750.0,285.0,275.0,1.626553,25.0,0.0,32.6037,Fresh,Alkaline,135.75,381.801,47.54140171693225
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2012-07-13,2012,7,Monsoon,386.0,3.0,22.0,35.0,53.0,29.0,71.0,57.0,18.0,177.0,0.76,8.5,690.0,175.0,200.0,1.634649,55.0,0.0,32.81633,Fresh,Neutral,139.0,323.0,39.82683982683983
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2013-01-03,2013,1,Winter,1408.0,62.0,44.0,119.0,230.0,32.0,333.0,307.0,24.0,92.0,0.85,8.6,2220.0,115.0,600.0,4.086329,110.0,0.0,43.85807,Brackish,Alkaline,425.0,756.0,28.02709568162574
HP2CBE16,Tirupur,Palladam,K.Ayyampalayam,10.975,77.225,"10°58'30""","77°13'30""",2013-07-02,2013,7,Monsoon,2401.0,91.0,240.0,165.0,184.0,176.0,510.0,528.0,0.0,390.0,2.05,8.0,3730.0,320.0,1280.0,2.239042,600.0,0.0,21.02892,Saline,Neutral,765.0,1428.0,30.23255813953488
63540,Tirupur,Kangeyam,Kadaiyur,10.928333,77.518056,"10°55'42""","77°31'05""",2012-01-03,2012,1,Winter,886.0,8.0,92.0,46.0,170.0,6.0,411.0,24.0,30.0,140.0,0.06,8.8,1530.0,165.0,420.0,3.613244,230.0,0.0,46.43512,Brackish,Alkaline,314.0,605.0,31.664853101196954
63540,Tirupur,kangeyam,Kadaiyur,,,,,2014-07-04,2014,7,Monsoon,1464.0,6.0,84.0,105.0,311.0,8.0,723.0,60.0,0.0,293.0,1.1,8.0,2650.0,240.0,640.0,5.340588,210.0,0.0,50.92396,Brackish,Neutral,508.0,1076.0,35.858585858585855
63540,Tirupur,kangeyam,Kadaiyur,,,,,2015-01-08,2015,1,Winter,1713.0,32.0,104.0,229.0,163.0,23.0,964.0,27.0,0.0,122.0,1.7,8.1,3160.0,100.0,1200.0,2.045288,260.0,0.0,22.35753,Saline,Neutral,519.0,1113.0,36.39705882352941
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2000-03-12,2000,3,Summer,548.0,3.0,50.0,30.0,67.0,63.0,60.0,48.0,0.0,204.35,0.655,8.1,930.0,335.0,250.0,2.883882,125.0,0.0,39.92708,Brackish,Neutral,210.0,312.35,19.594141858906866
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2000-07-22,2000,7,Monsoon,416.0,1.4,68.0,19.2,28.0,31.0,28.0,14.0,0.0,183.0,0.1,7.8,710.0,300.0,250.0,2.883882,170.0,0.0,39.92708,Fresh,Neutral,146.2,225.0,21.22844827586207
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2001-07-21,2001,7,Monsoon,488.4,2.0,47.2,26.122500000000002,46.0,65.0,18.0,74.0,0.6356778000000001,218.47195,0.46,8.8,680.0,250.0,165.0,2.883882,140.0,0.0,54.61885,Fresh,Alkaline,184.3225,311.1076278,25.590920028016917
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2002-07-11,2002,7,Monsoon,266.0,3.0,46.4,24.3,5.0,1.0,18.0,13.0,0.9845866,208.9904,0.36,7.7,540.0,210.0,216.0,0.1480642,116.0,0.0,4.771296,Fresh,Neutral,76.7,240.9749866,51.71165295643707
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2003-07-14,2003,7,Monsoon,442.0,1.0,44.0,35.235,85.0,0.1,46.0,11.0,1.664501,353.3104,0.38,7.7,870.0,355.0,255.0,2.316417,110.0,0.7514666,42.03818,Fresh,Neutral,164.335,411.974901,42.96991958151349
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2004-07-13,2004,7,Monsoon,859.0,28.0,72.0,53.46,161.0,13.0,142.0,24.0,0.0,536.8,0.85,8.2,1500.0,440.0,400.0,3.503246,180.0,0.8065781,45.68871,Brackish,Neutral,299.46000000000004,702.8,40.24305070540578
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2005-01-13,2005,1,Winter,558.0,13.0,54.0,40.095,71.0,25.0,152.0,82.0,0.0,152.5,0.655,8.1,940.0,125.0,300.0,1.783908,135.0,0.0,31.76656,Brackish,Neutral,190.095,386.5,34.06290377127793
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2005-07-06,2005,7,Monsoon,713.0,12.0,62.0,38.88,115.0,63.0,71.0,38.0,0.0,542.9,0.67,8.2,1200.0,445.0,315.0,2.819894,155.0,2.60537,38.75584,Brackish,Neutral,278.88,651.9,40.076065235608844
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2006-01-15,2006,1,Winter,462.0,6.0,48.0,41.31,60.0,16.0,50.0,22.0,3.026085,321.9239,0.655,8.0,830.0,325.0,290.0,1.533253,120.0,0.0,29.61089,Fresh,Neutral,165.31,396.949985,41.198020698556384
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2006-07-19,2006,7,Monsoon,360.0,5.0,52.0,27.945,14.0,43.0,18.0,15.0,1.289376,273.6856,0.64,7.7,600.0,275.0,245.0,0.3892686,130.0,0.0,9.222067,Fresh,Neutral,136.945,307.974976,38.44061521751049
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2007-01-27,2007,1,Winter,102.0,2.0,12.0,2.43,18.0,4.0,14.0,10.0,0.8061981,54.11456,0.7,8.2,140.0,55.0,40.0,1.238875,30.0,0.1150598,46.49152,Fresh,Neutral,36.43,78.9207581,36.83613250566057
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2007-07-03,2007,7,Monsoon,230.0,4.0,32.0,7.29,18.0,38.0,14.0,12.0,1.75359,148.1835,0.68,8.1,350.0,150.0,110.0,0.7470555,80.0,0.2905291,19.8131,Fresh,Neutral,95.28999999999999,175.93709,29.734157454552207
HP2CBE31,Tirupur,Madathukulam,Kallapuram,10.441667,77.306944,"10°26'30""","77°18'25""",2008-01-12,2008,1,Winter,348.0,1.0,10.0,21.87,69.0,29.0,71.0,48.0,3.572497,151.3019,0.94,8.4,600.0,155.0,115.0,2.799558,25.0,0.3004356,49.67666,Fresh,Neutral,129.87,273.874397,35.66721868340875
